32,79,81,3,1,2
33,69,83,3,1,2
31,78,87,3,1,3
32,75,85,3,1,3
29,70,83,3,1,3
28,85,84,3,1,3
30,71,87,3,1,1
28,83,85,3,1,3
32,76,90,3,1,2
28,68,83,3,1,4
31,72,81,3,1,4
33,84,80,3,1,5
33,75,90,3,1,2
29,66,85,3,1,3
32,75,88,3,1,3
30,68,83,3,1,5
31,69,88,3,1,2
28,74,83,3,1,1
30,79,84,3,1,1
30,82,89,3,1,2
33,68,87,3,1,3
30,84,86,3,1,5
32,80,85,3,1,4
29,69,87,3,1,5
30,66,86,3,1,2
30,74,81,3,1,3
30,76,82,3,1,5
34,68,85,3,1,4
33,76,87,3,1,5
32,85,90,3,1,5
28,69,90,3,1,1
31,76,90,3,1,4
35,73,80,3,1,3
33,80,82,3,1,3
29,65,88,3,1,1
31,80,86,3,1,2
28,79,89,3,1,5
28,71,80,3,1,3
28,77,83,3,1,1
32,68,89,3,1,4
32,74,89,3,1,5
34,83,88,3,1,5
31,71,83,3,1,2
31,71,82,3,1,1
28,68,87,3,1,5
30,81,80,3,1,3
35,71,80,3,1,2
28,73,88,3,1,5
31,77,82,3,1,1
30,69,80,3,1,2
31,75,83,3,1,3
29,82,85,3,1,4
33,66,89,3,1,1
35,79,83,3,1,1
30,78,80,3,1,1
30,84,86,3,1,1
31,79,89,3,1,4
33,72,83,3,1,2
29,70,87,3,1,5
32,72,84,3,1,2
31,81,86,3,1,5
28,84,85,3,1,3
34,85,84,3,1,3
34,71,80,3,1,5
34,81,80,3,1,2
30,67,85,3,1,1
32,69,88,3,1,1
34,74,86,3,1,2
35,66,87,3,1,4
35,82,83,3,1,5
35,82,84,3,1,4
31,80,84,3,1,4
31,68,86,3,1,4
31,73,80,3,1,5
31,68,86,3,1,4
34,79,88,3,1,2
30,84,88,3,1,4
32,76,83,3,1,5
35,73,84,3,1,1
30,77,81,3,1,3
35,70,82,3,1,1
28,85,87,3,1,3
31,70,82,3,1,1
34,78,86,3,1,5
28,79,82,3,1,2
30,79,83,3,1,1
35,83,81,3,1,1
33,77,89,3,1,2
33,65,80,3,1,4
33,79,85,3,1,4
32,81,88,3,1,2
29,78,82,3,1,5
29,83,85,3,1,3
33,80,80,3,1,5
31,69,87,3,1,1
34,69,88,3,1,4
28,72,80,3,1,2
28,76,81,3,1,4
31,74,90,3,1,4
30,70,82,3,1,5
34,84,85,3,1,2
30,65,86,3,1,4
33,66,80,3,1,2
31,79,87,3,1,2
30,84,82,3,1,2
28,83,84,3,1,1
28,74,86,3,1,5
29,72,82,3,1,3
33,65,90,3,1,4
35,85,86,3,1,1
31,65,84,3,1,1
30,80,89,3,1,2
32,71,80,3,1,2
28,68,84,3,1,3
35,66,87,3,1,1
30,65,81,3,1,5
33,83,90,3,1,1
32,82,89,3,1,3
33,84,88,3,1,4
28,73,80,3,1,1
35,73,87,3,1,5
32,84,88,3,1,3
30,80,81,3,1,1
31,69,84,3,1,5
32,70,81,3,1,4
30,67,89,3,1,3
29,85,83,3,1,2
33,77,85,3,1,4
30,66,86,3,1,3
35,72,89,3,1,4
31,74,87,3,1,2
31,80,80,3,1,1
28,66,89,3,1,5
33,84,88,3,1,4
